,Sols,elysium2028,elysium2031,oxia2028,oxia2031,mawrth_vallis2028,mawrth_vallis2031,vernal2028,vernal2031,valles2028,valles2031,aram2028,aram2031,meridiani2028,meridiani2031,eberswalde2028,eberswalde2031
57,,3.4352561332619644,3.3909406957472203,3.4684319716090175,2.810310510754426,3.3707287140177593,2.578889858532771,3.379669713114639,3.096945293470162,3.1410268908166503,3.4279685975985017,3.2793670085615627,3.162590470706296,3.38288287570586,3.343294764477285,2.695654790582351,3.302858158123048
58,,3.432470116733988,3.3806465741918763,3.4616515137396626,2.7969752843963116,3.3622250435443983,2.5627832251689338,3.372255683903317,3.083843787732447,3.1405815381151125,3.415726358484399,3.2739629991061556,3.1492031224444155,3.3782364699775664,3.3309924196915364,2.6962696323249378,3.291372668510379
59,,3.4296495157443805,3.3705122390313704,3.4550048765814028,2.7839277570969485,3.353860526067683,2.546953927745577,3.3648328249696005,3.070891875657273,3.1399164919958045,3.4035381294242764,3.2685285341643975,3.1359636652905123,3.373492676734403,3.318778681674348,2.6965883646831226,3.2798708366893714
60,,3.42679632425697,3.360530544663621,3.4484856422710655,2.7711544968585606,3.3456287463380803,2.5313907680098637,3.3574028847339608,3.05808429371914,3.139043599316799,3.391403988584244,3.2630659955934815,3.1228670399557954,3.3686574936485516,3.306651522833522,2.696627191410009,3.268357048752022
61,,3.423912406918588,3.3504327452156026,3.4420878067111946,2.7584421940974875,3.337523701721321,2.5159099924102635,3.349967492066507,3.0452060365477656,3.137973937989793,3.379476897316055,3.2575776078701986,3.1098000004206265,3.3637365256582887,3.294436182719395,2.6964012610822357,3.2570490063081965
62,,3.4209516201743186,3.34022362773601,3.435463818207998,2.7457901213221185,3.329123119205941,2.5005132962023944,3.3424739435917443,3.0322622839214293,3.1369233869978834,3.367753952504701,3.2520204009465585,3.0967645773085235,3.35877627450893,3.282138388953135,2.6961952213749747,3.2459449697147735
63,,3.417915402713085,3.3299076931838165,3.4286228055446837,2.7331975840023413,3.320437069540071,2.4852022006689456,3.3349259590458242,3.01925789157991,3.135890975117388,3.3562323395430025,3.2463969557065657,3.0837626449433304,3.3537786874069524,3.269763514699232,2.696008561125962,3.2350431818818164
64,,3.4148051161861734,3.3194891783415197,3.421573342848716,2.7206639181027445,3.311475034544493,2.4699780672798965,3.3273270268430295,3.0061974160551403,3.1348757918590704,3.344909326519245,3.240709704227346,3.0707959336188266,3.3487455952800533,3.2573166057962992,2.6958407951851435,3.224341871188855
65,,3.4116220510003177,3.3089720757368157,3.41432349158948,2.7081884878397036,3.302245951566149,2.4548421105568723,3.3196804215985782,2.993085137245962,3.1338769828599253,3.33378225892354,3.234960940978251,3.0578660407508713,3.343678721549327,3.2448024054232354,2.6956914624938246,3.2138392541182976
66,,3.4083674315921364,3.298602653681956,3.4068808388150176,2.6959564438616517,3.2927582539514777,2.4399557351139753,3.311989220082305,2.980119468551761,3.1328937456876864,3.3227070566127384,3.2291528330175017,3.0450748409620783,3.3385796901161453,3.2323853243210614,2.6955601243354383,3.2033358495727344
67,,3.405086789125877,3.2883750919501034,3.3995693187357703,2.683957627681413,3.2834059221505676,2.4253097655085334,3.304306551054979,2.9672957898465633,3.131734927999529,3.3116834180378025,3.2233291664657524,3.0324180357637474,3.333411808002486,3.2200631526647476,2.6951957798024004,3.1928342686383275
68,,3.4017815660750728,3.2782839048122905,3.3923834069867107,2.6721824671093,3.2741835895329943,2.4108955415451985,3.296633175855175,2.95460973488474,3.130409077206277,3.3007110450468486,3.217491435843093,3.019891562451592,3.3281791376097805,3.2078337931586476,2.6946099589876367,3.182336949910728
69,,3.3984531216914062,3.2683239171568745,3.3853178945235602,2.660621934386397,3.265086194259019,2.396704881623858,3.288969806425126,2.942057173272071,3.128924248214029,3.2897896427423605,3.2116410466771836,3.007491577362707,3.32288550397985,3.195695253115643,2.693813524852594,3.1718461719890527
70,,3.3950399396400477,3.258271105214795,3.3780593732264914,2.649106661672376,3.255747949507461,2.3825983306558607,3.2812529017702428,2.929464520082223,3.127443452856785,3.2790308900530367,3.2057219655796207,2.9951220013120072,3.3175495430304727,3.1835003082566393,2.6930287090559264,3.161520462004577
71,,3.39154380073515,3.2481289022199156,3.3706147973402336,2.6376364856345935,3.246176234323386,2.36857654931263,3.2734856571259794,2.916835061174534,3.1259665684918505,3.2684336468814346,3.1997366615919383,2.9827843372866023,3.3121732427761597,3.1712527454942063,2.69225552469167,3.1513594689029607
72,,3.387966398880787,3.2379005640311624,3.362990746497573,2.626211242113071,3.236378051949302,2.3546401128773944,3.2656710899282917,2.9041719007567433,3.1244934795474584,3.257996765899825,3.1936874766835612,2.9704799824365584,3.306758484741355,3.1589561455128923,2.691493978660057,3.1413627668639346
